,PLAYER_ID,LEAGUE_ID,Team_ID,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
0,202328,00,0,27,1,12.4,2.3,4.8,0.481,0.0,0.1,0.25,1.7,2.3,0.77,1.7,2.4,4.1,0.7,0.6,0.3,1.1,1.3,6.4
0,1630541,00,0,1,0,3.6,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
0,1629630,00,0,6,6,39.7,10.5,21.8,0.481,1.7,5.5,0.303,7.8,10.0,0.783,1.3,3.3,4.7,8.2,0.5,0.0,3.3,1.8,30.5
0,1629752,00,0,9,2,10.2,0.3,1.3,0.25,0.2,1.1,0.2,0.2,0.7,0.333,0.8,1.8,2.6,0.7,0.2,0.0,0.1,1.3,1.1
0,202693,00,0,49,22,21.2,2.7,6.5,0.423,1.0,2.7,0.369,1.1,1.3,0.8,1.1,3.2,4.3,1.2,0.5,0.6,1.0,2.8,7.5
0,1628420,00,0,44,6,21.5,3.5,7.8,0.445,0.7,2.2,0.296,1.3,1.8,0.766,0.3,1.3,1.6,3.4,0.7,0.1,0.5,1.1,9.0
0,202694,00,0,64,43,30.5,4.5,10.3,0.435,1.9,4.5,0.418,1.9,2.5,0.767,0.9,4.3,5.2,1.4,0.5,0.3,0.7,2.9,12.7
0,1630530,00,0,1,0,25.9,2.0,4.0,0.5,2.0,4.0,0.5,0.0,0.0,0.0,1.0,3.0,4.0,2.0,0.0,0.0,0.0,1.0,6.0
0,1627749,00,0,16,7,16.5,2.3,5.8,0.402,0.3,0.6,0.444,1.5,2.1,0.706,0.5,2.5,3.0,2.3,1.3,0.2,1.3,1.6,6.4
0,1627750,00,0,33,33,38.2,8.9,18.8,0.473,2.7,6.7,0.409,3.8,4.2,0.9,1.2,3.5,4.6,5.8,1.0,0.2,2.3,2.0,24.3
0,203488,00,0,29,0,9.5,1.2,2.6,0.48,0.2,0.7,0.263,0.3,0.3,0.9,0.7,1.2,1.9,0.2,0.1,0.2,0.3,1.1,3.0
0,1626204,00,0,21,0,15.5,2.2,3.2,0.676,0.0,0.1,0.333,0.8,1.7,0.486,1.8,2.8,4.6,1.0,0.8,0.7,0.6,1.8,5.2
0,1630174,00,0,5,0,15.0,1.0,3.6,0.278,0.8,2.8,0.286,0.4,0.4,1.0,0.4,2.2,2.6,0.2,0.2,0.2,0.4,1.4,3.2
